akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.878,23 M","1.412,24 M",75.19
" PAD","191,97 M","220,96 M",115.10
" Pajak Daerah","34,59 M","24,14 M",69.78
" Retribusi Daerah","27,32 M","16,12 M",58.99
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","9,42 M","6,37 M",67.62
" Lain-Lain PAD yang Sah","120,63 M","174,33 M",144.51
" TKDD","1.510,51 M","1.087,27 M",71.98
" Pendapatan Transfer Pemerintah Pusat","1.510,51 M","1.087,27 M",71.98
" Pendapatan Lainnya","175,75 M","104,02 M",59.19
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","59,75 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","116,00 M","104,02 M",89.67
" Belanja Daerah","1.965,15 M","1.217,14 M",61.94
" Belanja Pegawai","739,04 M","512,87 M",69.40
" Belanja Pegawai","739,04 M","512,87 M",69.40
" Belanja Barang dan Jasa","447,58 M","300,67 M",67.18
" Belanja Barang dan Jasa","447,58 M","300,67 M",67.18
" Belanja Modal","301,02 M","120,88 M",40.16
" Belanja Modal","301,02 M","120,88 M",40.16
" Belanja Lainnya","477,50 M","282,72 M",59.21
" Belanja Bagi Hasil","4,69 M","2,24 M",47.74
" Belanja Bantuan Keuangan","310,26 M","208,42 M",67.18
" Belanja Bunga","10,31 M","7,92 M",76.80
" Belanja Hibah","145,41 M","63,40 M",43.60
" Belanja Bantuan Sosial","1,83 M","0,53 M",29.00
" Belanja Tidak Terduga","5,00 M","0,20 M",4.06
" Pembiayaan Daerah","86,92 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","153,56 M","298,12 M",194.13
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","152,78 M","298,12 M",195.13
" Pencairan Dana Cadangan","0,00 M","0,00 M",0
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,78 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","66,65 M","0,00 M",0.00
" Pembentukan Dana Cadangan","10,00 M","20,00 M",200.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","56,65 M","84,69 M",149.51
" Pembayaaran Pokok Utang","0,00 M","84,69 M",0
" Pengeluaran Pembiayaan Lainnya","0,00 M","20,00 M",0
